URL,Fake News,Opinions,Subjective,Reported information,Sources Cited,False Information,Insinuation,Exaggeration,Offbeat Title
https://www.polemia.com/chloroquine-entre-science-et-empirisme-une-impasse-politique/,0,1,1,0,1,0,1,0,0
https://www.polemia.com/guerre-en-ukraine-lombre-de-staline/,0,1,1,0,0,0,0,1,0
https://www.polemia.com/la-candidature-de-zemmour-pourrait-briser-le-cordon-sanitaire-du-front-republicain/,0,1,1,0,0,0,1,1,0
https://www.polemia.com/libye-tribus-et-barbus-le-bobardement-en-attendant-lenlisement/,0,1,1,0,1,0,1,1,0
https://www.polemia.com/ukraine-qui-ment-et-pourquoi/,1,1,1,0,1,0,1,1,0
https://www.profession-gendarme.com/essonne-les-voleurs-tombent-sur-des-membres-du-gign-qui-sortaient-de-leur-entrainement/,0,0,0,0,1,0,0,0,0
https://www.profession-gendarme.com/meru-le-chef-des-pompiers-retrouve-mort-a-son-domicile-ce-samedi-4-septembre/,0,0,0,0,1,0,0,0,0
https://www.profession-gendarme.com/reflexions-dun-professeur-de-lettres-soumise-a-un-devoir-dinformation-de-ses-eleves-sur-le-vax-covid-entre-mythe-et-realite/,0,1,1,0,0,0,1,1,0
https://www.profession-gendarme.com/ukraine-la-defense-territoriale-entre-en-scene/,0,1,1,0,1,0,1,1,0
https://www.profession-gendarme.com/ulrike-reisner-quel-lien-entre-le-vaccin-et-la-guerre-en-ukraine/,1,1,1,0,1,1,1,1,0
https://www.profession-gendarme.com/un-colonel-de-gendarmerie-a-la-tete-de-la-spa-pour-ramener-la-paix/,0,0,0,0,1,0,0,0,0
https://www.profession-gendarme.com/un-medecin-de-larmee-americaine-revele-que-les-medecins-ont-recu-lordre-de-ne-pas-signaler-les-effets-indesirables-lies-aux-vaccins-anti-covid/,1,1,0,0,1,0,1,0,0
https://www.profession-gendarme.com/vaccin-anti-covid-la-descente-aux-enfers-deloise/,0,1,0,0,1,0,1,0,0
